Closure ID,Source Batch,Source Image ID,Previous Status,No-Pay Status,Manifest Action,Priority,Image Need Category,Crop / System,Subject / Process,Visible Cue / Target Cue,Existing File / Source Record,Source Type,Original Source URL,License,Commercial Use Allowed?,Modification Allowed?,Attribution Required?,Rights / Production Risk,Recommended Manuscript Treatment,Self-Photo Opportunity?,Caption / Label Action,Reason for Closure Decision,Verification Still Needed,Search Terms / Rejected Alternatives,Notes
B30_028,Batch27_HardGap_DriftRootCrownPestExclusion,B27_07,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Pest lifecycle and scouting gaps,Cowpea / southern pea,Cowpea curculio lifecycle and pod damage,Cowpea curculio larva close-up.,LSE_FOUND_B27_PEST_Cowpea_CowpeaCurculio_LarvaInsidePodRisk_UGA_VERIFY.jpg,Extension,https://fieldreport.caes.uga.edu/publications/C1038/cowpea-curculio-in-southern-pea/,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,Use only as UGA-source-identified cowpea curculio; do not generalize to all pod injury.,"Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,cowpea curculio pod damage larva inside pod UGA; cowpea curculio larva adult pod cross-section | Rejected: IPMImages/Invasive results found but direct records inaccessible/403 during this pass.,Probably needs permission or Bugwood/IPMImages original with compatible license.
B30_029,Batch27_HardGap_DriftRootCrownPestExclusion,B27_08,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Pest lifecycle and scouting gaps,Cowpea / southern pea,Cowpea curculio lifecycle and pod damage,Adult cowpea curculio morphology.,LSE_FOUND_B27_PEST_Cowpea_CowpeaCurculio_AdultScouting_UGA_VERIFY.jpg,Extension,https://fieldreport.caes.uga.edu/publications/C1038/cowpea-curculio-in-southern-pea/,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,Use only as UGA-source-identified cowpea curculio; do not generalize to all pod injury.,"Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,cowpea curculio pod damage larva inside pod UGA; cowpea curculio larva adult pod cross-section | Rejected: IPMImages/Invasive results found but direct records inaccessible/403 during this pass.,Probably needs permission or Bugwood/IPMImages original with compatible license.
B30_030,Batch27_HardGap_DriftRootCrownPestExclusion,B27_09,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Pest lifecycle and scouting gaps,Eggplant,Eggplant flea beetle damage,Tiny shiny black flea beetles and pitted/shot-hole feeding injury on eggplant leaf.,LSE_FOUND_B27_PEST_Eggplant_FleaBeetle_ShotHolePittedLeaf_DavidCappaert-Bugwood_VERIFY.jpg,Extension / Bugwood-linked,https://content.ces.ncsu.edu/insect-and-related-pests-of-vegetables/pests-of-eggplant,VERIFY; possible CC BY-NC in other extension snippets VERIFY,VERIFY,VERIFY,VERIFY,Possible NC risk [VERIFY],"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,Avoid implying all small holes are flea beetles; confirm pest presence on leaves.,"Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,eggplant flea beetle shot-hole damage David Cappaert Bugwood UGA5381045; Epitrix fuscula damage photo | Rejected: Penn State/VCE pages indicated Bugwood source but did not resolve commercial-safe rights.,Permission or replacement candidate.
B30_031,Batch27_HardGap_DriftRootCrownPestExclusion,B27_10,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,"Wildlife, exclusion, and physical damage",Corn / seedlings,Black cutworm seedling damage,Cutworm larva next to severed young corn plant.,LSE_FOUND_B27_PEST_Corn_BlackCutworm_SeveredSeedlingDamage_WM-Hantsbarger_CC-BY-3.0-US.jpg,Wikimedia / Bugwood,https://commons.wikimedia.org/wiki/File:Agrotis_ipsilon_larva.jpg,Creative Commons Attribution 3.0 United States,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,"Corn image; caption as cutworm damage pattern, not vegetable-specific proof for every crop.",No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final caption review and attribution placement.,black cutworm severed seedling damage CC BY; Agrotis ipsilon larva Bugwood 5361045 | Rejected: Generic cutworm photos without plant damage rejected.,One of the strongest new found-only keepers.
B30_032,Batch27_HardGap_DriftRootCrownPestExclusion,B27_11,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,"Wildlife, exclusion, and physical damage",Vegetable seedlings,Cutworm physical exclusion collars,"Cardboard collars around young seedlings, inserted around stems to block cutworms.",LSE_FOUND_B27_EXCLUSION_Seedlings_CutwormCollars_CardboardBarrier_KathleenMoore_CC-BY-2.0.jpg,Extension,https://content.ces.ncsu.edu/extension-gardener-handbook/8-integrated-pest-management-ipm,Creative Commons Attribution 2.0 Generic,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,"Mention barrier is for cutworms, not all chewing damage.",No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final placement/caption review.,cutworm collars seedlings CC BY; NC State cardboard collars cutworms Kathleen Moore | Rejected: Retail product collar photos rejected; no rights strategy.,Good practical setup image.
B30_033,Batch27_HardGap_DriftRootCrownPestExclusion,B27_12,Conditional,Conditional,Keep only if production accepts obligations; otherwise substitute text/self-photo,High,North Texas / hot-climate practical systems,Vegetable beds,Floating row cover / physical barrier,Floating row cover installed over garden bed.,LSE_FOUND_B27_EXCLUSION_VegetableBeds_FloatingRowCover_PhysicalBarrier_ScotNelson_CONDITIONAL.jpg,Extension / Wikimedia-or-Flickr-derived,https://content.ces.ncsu.edu/extension-gardener-handbook/8-integrated-pest-management-ipm,CC0 1.0 stated in page text; filename suggests CC BY 2.0 CC0 1.0 / CC BY 2.0 conflict,"Yes, pending resolving license-record conflict","Yes, pending resolving license-record conflict",VERIFY; recommended regardless,License-record conflict,Conditional image; do not final-clear until ShareAlike/GFDL/caption/host mismatch/review issue is resolved.,No,"For North Texas, include heat buildup caution and pollination removal timing.","Image remains useful but carries ShareAlike/GFDL, host/crop mismatch, resolution, or provenance/caption review risk.",Resolve CC0 vs CC BY 2.0 record conflict and confirm exact credit line.,floating row cover vegetable bed Scot Nelson CC0; NC State floating row covers figure 8-12 | Rejected: Generic row-cover stock photos rejected.,Useful practical systems candidate.
B30_034,Batch27_HardGap_DriftRootCrownPestExclusion,B27_13,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,Medium,"Wildlife, exclusion, and physical damage",Containers / small beds,Slug/snail barrier using copper tape,Copper tape installed around a container as a physical slug barrier.,LSE_FOUND_B27_EXCLUSION_Containers_SlugBarrier_CopperTape_KathleenMoore_CC-BY-2.0.jpg,Extension,https://content.ces.ncsu.edu/extension-gardener-handbook/8-integrated-pest-management-ipm,Creative Commons Attribution 2.0 Generic,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Do not overstate efficacy; use as one barrier option.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final placement/caption review.,copper tape slug barrier Kathleen Moore CC BY; NC State copper tape slug barrier | Rejected: Retail copper-tape photos rejected.,Good for herb barrel / patio chapter.
B30_035,Batch27_HardGap_DriftRootCrownPestExclusion,B27_14,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Abiotic stress and lookalikes,Squash,Pesticide burn / phytotoxicity from soap and pyrethrins,Leaf scorch/burn pattern after soap + pyrethrin application,LSE_FOUND_B27_ABIOTIC_Squash_PesticideBurn_SoapPyrethrinLeafScorch_UMD_VERIFY.jpg,Extension,https://extension.umd.edu/resource/fertilizer-or-pesticide-burn-vegetable-leaves/,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,"Do not diagnose from image alone; compare with disease, nutrient, water, and weather history.","Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,fertilizer burn vegetable leaves photo extension; pesticide burn squash soap pyrethrin; cold damage vegetable transplant photo | Rejected: NC BY-NC-SA herbicide injury images rejected; generic blog images rejected.,Hold candidate; may require replacement if UMD reuse is not granted.
B30_036,Batch27_HardGap_DriftRootCrownPestExclusion,B27_15,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Abiotic stress and lookalikes,Bean,Pesticide burn / phytotoxicity,Leaf scorch pattern after pesticide injury,LSE_FOUND_B27_ABIOTIC_Bean_PesticideBurn_LeafScorch_UMD_VERIFY.png,Extension,https://extension.umd.edu/resource/fertilizer-or-pesticide-burn-vegetable-leaves/,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,"Do not diagnose from image alone; compare with disease, nutrient, water, and weather history.","Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,fertilizer burn vegetable leaves photo extension; pesticide burn squash soap pyrethrin; cold damage vegetable transplant photo | Rejected: NC BY-NC-SA herbicide injury images rejected; generic blog images rejected.,Hold candidate; may require replacement if UMD reuse is not granted.
B30_037,Batch27_HardGap_DriftRootCrownPestExclusion,B27_16,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Abiotic stress and lookalikes,Vegetable transplant,Cold / frost injury,White leaves after freeze/cold injury,LSE_FOUND_B27_ABIOTIC_VegetableTransplant_ColdFreezeDamage_WhiteLeaves_UMD_VERIFY.jpg,Extension,https://extension.umd.edu/resource/vegetable-seedlings-or-transplant-leaves-yellowing-turning-white-or-are-spotted-or-scorched/,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,"Do not diagnose from image alone; compare with disease, nutrient, water, and weather history.","Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,fertilizer burn vegetable leaves photo extension; pesticide burn squash soap pyrethrin; cold damage vegetable transplant photo | Rejected: NC BY-NC-SA herbicide injury images rejected; generic blog images rejected.,Hold candidate; may require replacement if UMD reuse is not granted.
B30_038,Batch27_HardGap_DriftRootCrownPestExclusion,B27_17,Hold,Reject — Rights,Move out of active candidate pool under no-pay workflow,High,Abiotic stress and lookalikes,Tomato,Fertilizer burn / phytotoxicity,Young tomato leaf scorch associated with fertilizer burn,LSE_FOUND_B27_ABIOTIC_Tomato_FertilizerBurn_YoungLeafScorch_UMD_VERIFY.jpg,Extension,https://extension.umd.edu/resource/vegetable-seedlings-or-transplant-leaves-yellowing-turning-white-or-are-spotted-or-scorched/,VERIFY VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Do not use image. Cover in text, use an existing clean substitute, or self-photograph later if practical.",No,"Do not diagnose from image alone; compare with disease, nutrient, water, and weather history.","Prior status was Hold due to permission, unclear source, unclear commercial use, unclear modification rights, or unresolved ID; no outreach/no-pay rule makes it unusable.",No further permission outreach under current policy; keep source note only for future optional licensing.,fertilizer burn vegetable leaves photo extension; pesticide burn squash soap pyrethrin; cold damage vegetable transplant photo | Rejected: NC BY-NC-SA herbicide injury images rejected; generic blog images rejected.,Hold candidate; may require replacement if UMD reuse is not granted.
B30_039,Batch27_HardGap_DriftRootCrownPestExclusion,B27_18,Reject,Reject — Rights,Keep rejected / do not use,High,Abiotic stress and lookalikes,Tomato,PPO herbicide drift injury,Necrosis on young tomato fruit from flumioxazin/PPO herbicide drift,LSE_FOUND_B27_ABIOTIC_Tomato_FlumioxazinDrift_FruitNecrosis_NCSU-CC-BY-NC-SA_REJECT.png,Extension,https://content.ces.ncsu.edu/ppo-inhibitor-herbicide-injury-in-vegetables,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,No,Yes only under NC-SA; not compatible with commercial book without permission,Yes,NC-SA risk: commercial use not allowed under posted license,No replacement image required unless a clean source is found later; use text-only if the concept is important.,No,Reference only; not production-use under current rights.,"Prior row was rejected, generally due to NC/ND/unclear rights or unusable source/licensing; under no-pay policy it remains rejected.",None for active production; only revisit if a separate clean license appears.,tomato herbicide drift flumioxazin fruit necrosis CC BY-NC-SA; PPO herbicide injury vegetables NC State | Rejected: These images themselves are rejected under NC license.,Kept in reject folder to document review and avoid accidental use.
B30_040,Batch27_HardGap_DriftRootCrownPestExclusion,B27_19,Reject,Reject — Rights,Keep rejected / do not use,High,Abiotic stress and lookalikes,Tomato,PPO herbicide drift injury,Tomato foliage and stem necrosis from flumioxazin/PPO herbicide drift,LSE_FOUND_B27_ABIOTIC_Tomato_FlumioxazinDrift_FoliageStemNecrosis_NCSU-CC-BY-NC-SA_REJECT.png,Extension,https://content.ces.ncsu.edu/ppo-inhibitor-herbicide-injury-in-vegetables,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,No,Yes only under NC-SA; not compatible with commercial book without permission,Yes,NC-SA risk: commercial use not allowed under posted license,No replacement image required unless a clean source is found later; use text-only if the concept is important.,No,Reference only; not production-use under current rights.,"Prior row was rejected, generally due to NC/ND/unclear rights or unusable source/licensing; under no-pay policy it remains rejected.",None for active production; only revisit if a separate clean license appears.,tomato herbicide drift flumioxazin fruit necrosis CC BY-NC-SA; PPO herbicide injury vegetables NC State | Rejected: These images themselves are rejected under NC license.,Kept in reject folder to document review and avoid accidental use.
B30_041,Batch27_HardGap_DriftRootCrownPestExclusion,B27_NS_01,No suitable found photo,Self-Photo Opportunity,Add to self-photo shot list; leave unfilled for now,High,Abiotic stress and lookalikes,Vegetable crops / containers,Waterlogging / anaerobic root-zone symptoms,"Waterlogged roots, anaerobic container roots, pulled vegetable roots in saturated media",LSE_FOUND_B27_NO-SUITABLE_B27_NS_01_Waterlogging_anaerobic_root_zone_symptoms.txt,No suitable found photo,,VERIFY,,VERIFY,VERIFY,No usable found photo selected.,Photograph locally later with real North Texas setup or root/soil condition; otherwise cover with text/checklist.,Yes,Use conservative caption; do not overdiagnose from image alone.,"No clean found photo was located, but the subject can realistically be photographed later without paying or licensing.","Future self-photo must document crop/system, visible cue, date/location context, and caption-safe diagnosis.","Commission, obtain permission, or continue source-specific search. | Rejected: waterlogged vegetable roots photo extension; anaerobic roots vegetable container; overwatered roots vegetable seedlings","Vague wilted-plant photos, rights-unclear extension photos, retail/blog images, and/or noncommercial-licensed images."
B30_042,Batch27_HardGap_DriftRootCrownPestExclusion,B27_NS_02,No suitable found photo,Self-Photo Opportunity,Add to self-photo shot list; leave unfilled for now,High,Abiotic stress and lookalikes,Vegetables / containers,Salt or fertilizer burn in containers and beds,"Marginal scorch, tip burn, salt-crust/media injury",LSE_FOUND_B27_NO-SUITABLE_B27_NS_02_Salt_or_fertilizer_burn_in_containers_and_beds.txt,No suitable found photo,,VERIFY,,VERIFY,VERIFY,No usable found photo selected.,Photograph locally later with real North Texas setup or root/soil condition; otherwise cover with text/checklist.,Yes,Use conservative caption; do not overdiagnose from image alone.,"No clean found photo was located, but the subject can realistically be photographed later without paying or licensing.","Future self-photo must document crop/system, visible cue, date/location context, and caption-safe diagnosis.","Commission, obtain permission, or continue source-specific search. | Rejected: salt burn vegetable leaves photo CC BY; fertilizer burn tomato leaves extension; soluble salts container vegetable photo","Vague wilted-plant photos, rights-unclear extension photos, retail/blog images, and/or noncommercial-licensed images."
B30_043,Batch27_HardGap_DriftRootCrownPestExclusion,B27_NS_03,No suitable found photo,Text-Only Coverage,Do not keep searching broadly; cover with text/table/confirm-by box,High,Pest lifecycle and scouting gaps,Okra,Stink bug / leaffooted bug pod injury,"Warted, curled, distorted okra pods from feeding injury",LSE_FOUND_B27_NO-SUITABLE_B27_NS_03_Stink_bug_leaffooted_bug_pod_injury.txt,No suitable found photo,,VERIFY,,VERIFY,VERIFY,No usable found photo selected.,"Use conservative diagnostic text, comparison table, checklist, or existing clean substitute rather than an image.",Yes,Use conservative caption; do not overdiagnose from image alone.,"Need remains useful, but Batch 26–29 results show it is too specific, rights-locked, or not cleanly available online; no-pay policy prevents permission or paid licensing.",No photo to verify; manuscript text still requires source review.,"Commission, obtain permission, or continue source-specific search. | Rejected: okra stink bug damage pod photo; okra leaffooted bug pod injury extension; curled warted okra pod damage","Vague wilted-plant photos, rights-unclear extension photos, retail/blog images, and/or noncommercial-licensed images."
B30_044,Batch27_HardGap_DriftRootCrownPestExclusion,B27_NS_04,No suitable found photo,Text-Only Coverage,Do not keep searching broadly; cover with text/table/confirm-by box,High,Root and soilborne diagnostics,Tomato / pepper,Rights-clear vascular wilt stem cross-section,Split stem with vascular discoloration; Fusarium/Verticillium lookalike comparison,LSE_FOUND_B27_NO-SUITABLE_B27_NS_04_Rights_clear_vascular_wilt_stem_cross_section.txt,No suitable found photo,,VERIFY,,VERIFY,VERIFY,No usable found photo selected.,"Use conservative diagnostic text, comparison table, checklist, or existing clean substitute rather than an image.",No,Use conservative caption; do not overdiagnose from image alone.,"Need remains useful, but Batch 26–29 results show it is too specific, rights-locked, or not cleanly available online; no-pay policy prevents permission or paid licensing.",No photo to verify; manuscript text still requires source review.,"Commission, obtain permission, or continue source-specific search. | Rejected: tomato vascular browning Fusarium CC BY; Fusarium wilt stem cross section tomato Bugwood; Verticillium wilt vascular browning pepper","Vague wilted-plant photos, rights-unclear extension photos, retail/blog images, and/or noncommercial-licensed images."
B30_045,Batch28_RootCrownAbioticPestDamage,B28_01,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,Abiotic stress / physical damage,Tomato,Hail injury / physical fruit damage,Bruises and punched holes on developing green tomato fruit after hail,LSE_FOUND_B28_ABIOTIC_Tomato_HailDamage_FruitBruisesHoles_DwightSipler_CC-BY-2.0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Hail_Damage_on_Tomatoes_(2634477599).jpg,Creative Commons Attribution 2.0 Generic,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Do not imply all circular fruit lesions are hail injury; use weather history and distribution pattern.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final caption review and layout/crop decision.,tomato hail damage Wikimedia Commons; hail damage on tomatoes CC BY | Rejected: Whole-plant hail images with less visible fruit injury.,Good candidate for abiotic disorder/lookalike section.
B30_046,Batch28_RootCrownAbioticPestDamage,B28_02,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,Root and soilborne diagnostics,Tomato,Bacterial wilt / stem cross-section symptom,Cut tomato stem section with brown internal vascular discoloration / damaged tissue,LSE_FOUND_B28_ROOTS_Tomato_BacterialWilt_StemCrossSection_ClemsonUSDA_CC-BY-3.0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Ralstonia_solanacearum_symptoms.jpg,Creative Commons Attribution / PD USDA noted in Commons categories 3.0 Unported,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,"Do not state that vascular browning alone proves Ralstonia; Fusarium, Verticillium, and other crown/stem disorders can resemble wilt.",No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Confirm desired caption against manuscript wilt-diagnostics source; decide whether to pair with ooze/streaming-test text.,Ralstonia solanacearum symptoms tomato Wikimedia Commons; bacterial wilt tomato ForestryImages 1234208 | Rejected: Whole-plant wilt images that lacked internal cue.,"Use as stem-inspection visual, not as final diagnostic proof."
B30_047,Batch28_RootCrownAbioticPestDamage,B28_03,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,Medium,Disease progression / soilborne disease,Tomato,Rhizoctonia damping-off/blight/fruit rot,Blackish discoloration and rot on tomato fruit/stems near soil line,LSE_FOUND_B28_DISEASE_Tomato_RhizoctoniaSolani_FruitRotBlackLesions_JGKühn_CC-BY-3.0.jpg,Wikimedia,"https://commons.wikimedia.org/wiki/File:Tomaten_Rhizoctonia_damping-off,_blight_and_rot_(Rhizoctonia_solani),_J.G.K%C3%BChn.jpg",Creative Commons Attribution 3.0 Unported,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,"Do not imply all black fruit lesions are Rhizoctonia; other rots, cold injury, or physical damage may look similar.",No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final pathology-caption review; decide whether visible catalog ID can remain or be credited elsewhere.,Tomaten Rhizoctonia damping-off blight rot J.G. Kühn; Rhizoctonia solani tomato IPMImages 1534037 | Rejected: Lower-quality damping-off images without reuse terms.,Better rights status than many extension-only damping-off examples.
B30_048,Batch28_RootCrownAbioticPestDamage,B28_04,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,Pest lifecycle / hidden root damage,Brassicas / kohlrabi,Cabbage root fly / cabbage maggot root damage,White maggots and damaged kohlrabi roots/crown tissue,LSE_FOUND_B28_PEST_Brassica_CabbageFlyMaggot_RootDamage_Kohlrabi_SchlagheckenJosef_CC-BY-4.0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Kohlrabi_Kohlfliegen-Maden_im_Strunk--Josef_Schlaghecken.jpg,Creative Commons Attribution 4.0 International,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Species-level ID should be kept to source-stated cabbage fly/root maggot; do not overstate if local species differs.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final entomology-caption review and crop-placement decision.,cabbage root maggot larva kohlrabi Commons; Delia radicum root damage Wikimedia | Rejected: Adult fly images and generic wilted brassicas without root inspection view.,One of the strongest new candidates in the batch.
B30_049,Batch28_RootCrownAbioticPestDamage,B28_05,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,Medium,Soil / water / drought process,Soil / Blackland clay analog,Drying shrinkage / cracking soil surface,Large mud cracks in dry soil surface with scale,LSE_FOUND_B28_SOIL_DroughtDrySoil_CrackingScale_VladislavNekrasov_CC-BY-4.0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Cracks_in_soil_surface.jpg,Creative Commons Attribution 4.0 International,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,"Caption as a general cracking process image, not a direct Blackland Prairie site unless a Texas source is later found.",No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Decide if a North Texas-specific replacement is needed.,cracked soil surface CC BY Wikimedia; clay cracked dry soil Commons | Rejected: CC BY-SA clay images and decorative drought photos.,Useful but lower priority than crop-specific diagnostics.
B30_050,Batch28_RootCrownAbioticPestDamage,B28_06,Conditional,Conditional,Keep only if production accepts obligations; otherwise substitute text/self-photo,High,Abiotic stress and lookalikes,Tomato,Frost / freeze injury,"Blackened, curled, damaged tomato leaves and fruit after frost exposure",LSE_FOUND_B28_ABIOTIC_Tomato_FrostDamage_LeafFruitBurn_AmroBinKulthoum_CC-BY-SA-3.0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:%D8%A8%D9%86%D8%AF%D9%88%D8%B1%D8%A9_%D8%A3%D8%B5%D8%A7%D8%A8%D9%87%D8%A7_%D8%B5%D9%82%D9%8A%D8%B9.jpg,Creative Commons Attribution-ShareAlike 3.0 Unported,Yes,"Yes, but ShareAlike applies",Yes,ShareAlike,Conditional image; do not final-clear until ShareAlike/GFDL/caption/host mismatch/review issue is resolved.,No,Do not imply frost is the only cause of blackened leaves; use recent temperature history.,"Image remains useful but carries ShareAlike/GFDL, host/crop mismatch, resolution, or provenance/caption review risk.",ShareAlike compatibility review; final caption review. | ShareAlike/GFDL production compatibility review required.,tomato frost injury Wikimedia Commons; cherry tomato frost damage CC BY-SA | Rejected: Low-resolution extension frost images with unclear reuse.,Good visual; not production-clear until SA handling is accepted.
B30_051,Batch28_RootCrownAbioticPestDamage,B28_07,Conditional,Conditional,Keep only if production accepts obligations; otherwise substitute text/self-photo,High,Root/crown disease diagnostics,Tomato,Southern blight / Athelia rolfsii sclerotia,Small brown sclerotia on tomato debris/fruits near crown area,LSE_FOUND_B28_DISEASE_Tomato_SouthernBlight_SclerotiaAtCrown_PersleyCooke_CC-BY-SA-3.0_LOWRES.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Athelia_rolfsii_sclerotia.jpg,Creative Commons Attribution-ShareAlike 3.0 Unported,Yes,"Yes, but ShareAlike applies",Yes,ShareAlike; low-resolution production risk,Conditional image; do not final-clear until ShareAlike/GFDL/caption/host mismatch/review issue is resolved.,No,"Do not diagnose southern blight from sclerotia alone without host, crown symptoms, and moisture/temperature context.","Image remains useful but carries ShareAlike/GFDL, host/crop mismatch, resolution, or provenance/caption review risk.",ShareAlike review; pathology caption review; consider higher-resolution replacement. | ShareAlike/GFDL production compatibility review required.,Athelia rolfsii sclerotia tomato Commons; southern blight sclerotia tomato CC BY | Rejected: Extension images with unclear reuse and noncommercial restrictions.,Use only if no cleaner high-resolution replacement is found.
B30_052,Batch28_RootCrownAbioticPestDamage,B28_08,Conditional,Conditional,Keep only if production accepts obligations; otherwise substitute text/self-photo,High,Pest lifecycle / hidden root damage,Brassica / pak choi,Cabbage fly larva / root maggot damage,Small whitish cabbage fly larva beside destroyed pak choi stalk/root zone,LSE_FOUND_B28_PEST_Brassica_CabbageFlyLarva_StalkDamage_PakChoi_SchlagheckenJosef_CC-BY-SA-4.0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Pak_Choi_(Brassica_rapa_subsp._chinensis_)_Kohlfliegen-Schaden-3-Josef_Schlaghecken.jpg,Creative Commons Attribution-ShareAlike 4.0 International,Yes,"Yes, but ShareAlike applies",Yes,ShareAlike,Conditional image; do not final-clear until ShareAlike/GFDL/caption/host mismatch/review issue is resolved.,No,Do not assume every brassica root maggot species is Delia radicum unless source or regional expert confirms.,"Image remains useful but carries ShareAlike/GFDL, host/crop mismatch, resolution, or provenance/caption review risk.",ShareAlike production review; final local species caption check. | ShareAlike/GFDL production compatibility review required.,pak choi cabbage fly larva damage CC BY-SA; Delia radicum larva plant damage Wikimedia | Rejected: Adult fly photos and low-resolution larva images without host context.,Could replace B28_04 if production accepts ShareAlike.
